name,first_name,name_team,last_name,position,pp_line,game_date,team,opp,spread,over_under,implied_team_score,salary,l5_ppg_floor,l5_ppg_max,ppg_projection,value_projection,salary_factor,range_factor,total_score
Timo Meier,Timo,Meier_SJS,Meier,W,1,2022-11-29,SJS,MTL,1.5,6,3,8300,8.6,43.5,15,1.81,8.3,17.45,42.56
David Pastrnak,David,Pastrnak_BOS,Pastrnak,W,1,2022-11-29,BOS,TBL,-1.5,6.5,3.6,9100,8,30.5,17.8,1.96,9.1,11.25,40.11000000000001
Matthew Tkachuk,Matthew,Tkachuk_FLA,Tkachuk,W,1,2022-11-29,FLA,CGY,1.5,6.5,3,8800,3,28.1,15.8,1.8,8.8,12.55,38.95
Cole Caufield,Cole,Caufield_MTL,Caufield,W,1,2022-11-29,MTL,SJS,-1.5,6,3,7100,1.5,37,11.7,1.65,7.1000000000000005,17.75,38.199999999999996
Steven Stamkos,Steven,Stamkos_TBL,Stamkos,W,1,2022-11-29,TBL,BOS,1.5,6.5,2.9,7500,6.5,29.3,14.5,1.93,7.5,11.4,35.33
Kyle Connor,Kyle,Connor_WPG,Connor,W,1,2022-11-29,WPG,COL,1.5,6,2.8,7600,6,25.8,12.7,1.67,7.6000000000000005,9.9,31.869999999999997
Mikko Rantanen,Mikko,Rantanen_COL,Rantanen,W,1,2022-11-29,COL,WPG,-1.5,6,3.2,8400,1.5,23,10.9,1.3,8.4,10.75,31.349999999999998
Brad Marchand,Brad,Marchand_BOS,Marchand,W,1,2022-11-29,BOS,TBL,-1.5,6.5,3.6,7200,4.5,21,13.6,1.89,7.2,8.25,30.939999999999998
Filip Forsberg,Filip,Forsberg_NSH,Forsberg,W,1,2022-11-29,NSH,ANA,-1.5,6.5,3.9,6600,3,25.3,11.4,1.73,6.6000000000000005,11.15,30.88
Andrei Kuzmenko,Andrei,Kuzmenko_VAN,Kuzmenko,W,1,2022-11-29,VAN,WSH,-1.5,6.5,3.3,5500,7.8,29.5,12.1,2.2,5.5,10.85,30.650000000000002
Kevin Fiala,Kevin,Fiala_LAK,Fiala,W,1,2022-11-29,LAK,SEA,-1.5,6,3.1,6200,1.5,27.3,9.5,1.53,6.2,12.9,30.130000000000003
Owen Tippett,Owen,Tippett_PHI,Tippett,W,1,2022-11-29,PHI,NYI,1.5,6,2.6,4000,0,35.9,4.6,1.15,4,17.95,27.699999999999996
Troy Terry,Troy,Terry_ANA,Terry,W,1,2022-11-29,ANA,NSH,1.5,6.5,2.6,7400,3,16.5,11.8,1.59,7.4,6.75,27.540000000000003
Andre Burakovsky,Andre,Burakovsky_SEA,Burakovsky,W,1,2022-11-29,SEA,LAK,1.5,6,2.9,4900,6.5,27.5,10,2.04,4.9,10.5,27.439999999999998
Jake DeBrusk,Jake,DeBrusk_BOS,DeBrusk,W,1,2022-11-29,BOS,TBL,-1.5,6.5,3.6,6400,3,19,11.2,1.75,6.4,8,27.35
Andrei Svechnikov,Andrei,Svechnikov_CAR,Svechnikov,W,1,2022-11-29,CAR,PIT,1.5,6,2.9,6900,1.5,19.5,9.2,1.33,6.9,9,26.43
Kevin Hayes,Kevin,Hayes_PHI,Hayes,W,1,2022-11-29,PHI,NYI,1.5,6,2.6,4700,0,20.5,9,1.91,4.7,10.25,25.86
Sam Reinhart,Sam,Reinhart_FLA,Reinhart,W,1,2022-11-29,FLA,CGY,1.5,6.5,3,5300,3,18,10.8,2.04,5.3,7.5,25.64
Zach Parise,Zach,Parise_NYI,Parise,W,2,2022-11-29,NYI,PHI,-1.5,6,3.4,3500,1.5,29,6.4,1.83,3.5,13.75,25.479999999999997
Carter Verhaeghe,Carter,Verhaeghe_FLA,Verhaeghe,W,2,2022-11-29,FLA,CGY,1.5,6.5,3,6300,1.5,19,8.3,1.32,6.3,8.75,24.67
Artturi Lehkonen,Artturi,Lehkonen_COL,Lehkonen,W,1,2022-11-29,COL,WPG,-1.5,6,3.2,5800,10.8,18,13,2.24,5.8,3.5999999999999996,24.64
Adam Ruzicka,Adam,Ruzicka_CGY,Ruzicka,W,2,2022-11-29,CGY,FLA,-1.5,6.5,3.6,3800,2.8,28,6.5,1.71,3.8000000000000003,12.6,24.61
Brandon Hagel,Brandon,Hagel_TBL,Hagel,W,2,2022-11-29,TBL,BOS,1.5,6.5,2.9,4500,1.5,19.5,8.8,1.96,4.5,9,24.26
J.T. Miller,J.T.,Miller_VAN,Miller,W,1,2022-11-29,VAN,WSH,-1.5,6.5,3.3,6000,6.5,18,10.5,1.75,6,5.75,24
